state,answer_set,facility_name,skills_for_politics,count,n_respondents,pct_of_respondents
IL,all-surveys,"Madison County, IL",Agree,8,17,0.47058823529411764
KY,all-surveys,"Clay County Detention Center, KY",Agree,8,13,0.6153846153846154
KY,all-surveys,"Madison County, KY",Agree,8,17,0.47058823529411764
MA,all-surveys,"Franklin County Jail, MA",Agree,8,11,0.7272727272727273
MA,all-surveys,"Worcester County Jail, MA",Strongly agree,8,50,0.16
ME,all-surveys,"Two Bridges Regional, ME",Agree,8,17,0.47058823529411764
MI,all-surveys,"Genesee County, MI",Agree,8,22,0.36363636363636365
MI,all-surveys,"Kalamazoo County, MI",Disagree,8,20,0.4
NE,all-surveys,"Lancaster County, NE",Disagree,8,39,0.20512820512820512
NJ,all-surveys,"Bergen County, NJ",Strongly agree,8,32,0.25
NJ,all-surveys,"Ocean County, NJ",Agree,8,16,0.5
NM,all-surveys,"Luna County Detention Center, NM",Disagree,8,25,0.32
NY,all-surveys,"Chemung County Jail, NY",Agree,8,11,0.7272727272727273
NY,all-surveys,"Monroe County Sheriff's Department, NY",Strongly agree,8,64,0.125
NY,all-surveys,"Niagara County Correctional Facility, NY",Disagree,8,39,0.20512820512820512
NY,all-surveys,"Onondaga County-Justice Center, NY",Disagree,8,24,0.3333333333333333
OH,all-surveys,"Mahoning County Justice Center, OH",Strongly disagree,8,78,0.10256410256410256
OH,all-surveys,"Portage County, OH",Agree,8,18,0.4444444444444444
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Agree,8,15,0.5333333333333333
PA,all-surveys,"Lebanon County, PA",Disagree,8,46,0.17391304347826086
PA,all-surveys,"Lebanon County, PA",Strongly disagree,8,46,0.17391304347826086
TX,all-surveys,"Hunt County, TX",Disagree,8,21,0.38095238095238093
TX,all-surveys,"Potter County Detention, TX",Strongly disagree,8,52,0.15384615384615385
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Agree,8,15,0.5333333333333333
VA,all-surveys,"Pamunkey Regional Jail, VA",Disagree,8,36,0.2222222222222222
VA,all-surveys,"Pamunkey Regional Jail, VA",Strongly agree,8,36,0.2222222222222222
WI,all-surveys,"Dodge County, WI",Strongly agree,8,26,0.3076923076923077
WI,all-surveys,"Rock County, WI",Strongly agree,8,26,0.3076923076923077
WV,all-surveys,WV DCR Central Regional Jail,Disagree,8,22,0.36363636363636365
WV,all-surveys,WV DCR South Central Regional Jail,Strongly agree,8,24,0.3333333333333333
WV,all-surveys,WV DCR Southern Regional Jail,Agree,8,18,0.4444444444444444
AL,all-surveys,"Etowah County Jail, AL",Strongly agree,7,31,0.22580645161290322
AL,all-surveys,"Montgomery County, AL",Agree,7,15,0.4666666666666667
AL,all-surveys,"Riverside Regional, VA",Agree,7,23,0.30434782608695654
AZ,all-surveys,"Apache County Jail, AZ",Strongly agree,7,20,0.35
AZ,all-surveys,"Pinal County Jail, AZ",Disagree,7,35,0.2
CA,all-surveys,"Alameda County-Santa Rita, CA",Disagree,7,33,0.21212121212121213
CA,all-surveys,"Alameda County-Santa Rita, CA",Strongly disagree,7,33,0.21212121212121213
CA,all-surveys,"Orange County, CA - Central Jail Complex",Strongly disagree,7,67,0.1044776119402985
GA,all-surveys,"Bibb County Jail, GA",Disagree,7,39,0.1794871794871795
GA,all-surveys,"Catoosa County Jail, GA",Agree,7,15,0.4666666666666667
GA,all-surveys,"Cobb County, GA",Strongly agree,7,31,0.22580645161290322
GA,all-surveys,"Dekalb County Jail, GA",Disagree,7,31,0.22580645161290322
GA,all-surveys,"Forsyth County Detention Center, GA",Strongly agree,7,17,0.4117647058823529
GA,all-surveys,"Thomas County Detention, GA",Agree,7,18,0.3888888888888889
IA,all-surveys,"Polk County, IA ",Strongly agree,7,29,0.2413793103448276
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Disagree,7,27,0.25925925925925924
MA,all-surveys,"Barnstable County Correctional Facility, MA",Strongly agree,7,24,0.2916666666666667
MA,all-surveys,"Essex County Middleton HOC, MA",Strongly agree,7,59,0.11864406779661017
MI,all-surveys,"Kalamazoo County, MI",Agree,7,20,0.35
MO,all-surveys,"St. Louis County Jail, MO",Strongly disagree,7,73,0.0958904109589041
MT,all-surveys,"Missoula County, MT",Agree,7,21,0.3333333333333333
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Strongly disagree,7,64,0.109375
NJ,all-surveys,"Hudson County Corrections Center, NJ",Agree,7,16,0.4375
NM,all-surveys,"Eddy County Detention Center, NM",Agree,7,19,0.3684210526315789
NY,all-surveys,"Albany County Correctional Facility, NY",Strongly disagree,7,71,0.09859154929577464
NY,all-surveys,"Chautauqua County, NY",Disagree,7,27,0.25925925925925924
