state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
WI,all-surveys,"Dodge County, WI",Man,26,34,0.7647058823529411
AZ,all-surveys,"Yavapai County Jail, AZ",Man,25,37,0.6756756756756757
NM,all-surveys,"Chaves County Adult Detention Center, NM",Man,25,34,0.7352941176470589
NM,all-surveys,"Luna County Detention Center, NM",Man,25,37,0.6756756756756757
OH,all-surveys,"Cuyahoga County Justice Center, OH",Woman,25,236,0.1059322033898305
NC,all-surveys,Durham County NC - Detention Facility,Man,24,25,0.96
TX,all-surveys,"GEO Group-Kinney County, TX",Man,24,24,1
WI,all-surveys,"Sheboygan County Jail, WI",Man,24,30,0.8
KY,all-surveys,"Madison County, KY",Man,23,28,0.8214285714285714
MA,all-surveys,"Hampshire County, MA",Man,23,27,0.8518518518518519
ME,all-surveys,"Two Bridges Regional, ME",Man,23,24,0.9583333333333334
NM,all-surveys,"Curry County Detention Center, NM",Man,23,30,0.7666666666666667
NY,all-surveys,"Pasco County Corrections, FL",Woman,23,148,0.1554054054054054
PA,all-surveys,"Franklin County, PA",Man,23,34,0.6764705882352942
WV,all-surveys,WV DCR Southern Regional Jail,Man,23,29,0.7931034482758621
AZ,all-surveys,"Pima County Jail, AZ",Woman,22,210,0.10476190476190476
FL,all-surveys,"Nassau County, FL",Man,22,30,0.7333333333333333
MA,all-surveys,"Berkshire County House of Corrections, MA",Man,22,24,0.9166666666666666
NC,all-surveys,"New Hanover County Detention Center, NC",Man,22,25,0.88
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Man,22,30,0.7333333333333333
NJ,all-surveys,"Camden County Department of Corrections, NJ",Man,22,24,0.9166666666666666
PA,all-surveys,"Cumberland County Prison, PA",Man,22,25,0.88
VA,all-surveys,"Meherrin River Alberta, VA",Man,22,25,0.88
WV,all-surveys,WV DCR North Central Regional Jail,Woman,22,115,0.19130434782608696
AZ,all-surveys,"Apache County Jail, AZ",Man,21,24,0.875
MI,all-surveys,"Kalamazoo County, MI",Man,21,24,0.875
MI,all-surveys,"Kent County, MI ",Woman,21,100,0.21
MO,all-surveys,"St. Louis County Jail, MO",Woman,21,94,0.22340425531914893
NH,all-surveys,"Hillsborough County House of Corrections, NH",Man,21,24,0.875
NM,all-surveys,"Eddy County Detention Center, NM",Man,21,29,0.7241379310344828
OH,all-surveys,"Mahoning County Justice Center, OH",Woman,21,85,0.24705882352941178
TN,all-surveys,"McMinn County Justice Center, TN",Man,21,23,0.9130434782608695
GA,all-surveys,"Columbia County Detention Center, GA",Man,20,32,0.625
IL,all-surveys,"Madison County, IL",Man,20,20,1
IN,all-surveys,"Floyd County Jail, IN",Man,20,24,0.8333333333333334
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Man,20,25,0.8
MI,all-surveys,"Livingston County, MI",Man,20,32,0.625
NY,all-surveys,"Oneida County Correctional Facility, NY",Man,20,22,0.9090909090909091
SC,all-surveys,"Clarendon County, SC",Man,20,21,0.9523809523809523
TN,all-surveys,"Sullivan County Jail, TN",Woman,20,88,0.22727272727272727
UT,all-surveys,"Weber County Correctional Facility, UT",Man,20,21,0.9523809523809523
CA,all-surveys,"Madera County, CA",Woman,19,91,0.2087912087912088
CO,all-surveys,"Weld County, CO",Woman,19,134,0.1417910447761194
GA,all-surveys,"Athens Clarke County Jail, GA",Woman,19,68,0.27941176470588236
OH,all-surveys,"Portage County, OH",Man,19,29,0.6551724137931034
PA,all-surveys,"Montgomery County Correctional Facility, PA",Woman,19,93,0.20430107526881722
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Man,19,28,0.6785714285714286
VA,all-surveys,"Chesapeake Correctional Center, VA",Woman,19,75,0.25333333333333335
VA,all-surveys,"Western Regional, VA",Woman,19,54,0.35185185185185186
