state,answer_set,facility_name,us_ready_elect_woman_president,count,n_respondents,pct_of_respondents
OH,all-surveys,"Portage County, OH",Yes,9,19,0.47368421052631576
PA,all-surveys,"Lebanon County, PA",Not sure,9,34,0.2647058823529412
PA,all-surveys,"Lycoming County, PA",No,9,13,0.6923076923076923
SC,all-surveys,"Richland County Glenn Detention Center, SC",No,9,46,0.1956521739130435
TX,all-surveys,"MTC: Giles Dalby, TX",Not sure,9,60,0.15
TX,all-surveys,"McLennan County, TX",Not sure,9,48,0.1875
WV,all-surveys,WV DCR South Central Regional Jail,No,9,15,0.6
WV,all-surveys,WV DCR Southern Regional Jail,Yes,9,15,0.6
WV,all-surveys,WV DCR Southwestern Regional Jail,Yes,9,24,0.375
WV,all-surveys,WV DCR Western Regional Jail,Yes,9,25,0.36
AL,all-surveys,"Montgomery County, AL",Yes,8,20,0.4
AZ,all-surveys,"Apache County Jail, AZ",Yes,8,11,0.7272727272727273
AZ,all-surveys,"Yavapai County Jail, AZ",Not sure,8,18,0.4444444444444444
AZ,all-surveys,"Yavapai County Jail, AZ",Yes,8,18,0.4444444444444444
CA,all-surveys,"Santa Clara County, CA",Not sure,8,32,0.25
CO,all-surveys,"Douglas Detention Center, CO",Yes,8,15,0.5333333333333333
CO,all-surveys,"Mesa County, CO",Not sure,8,55,0.14545454545454545
FL,all-surveys,"Citrus County Detention Facility, FL",Yes,8,30,0.26666666666666666
FL,all-surveys,"Escambia County Jail, FL",Not sure,8,28,0.2857142857142857
FL,all-surveys,Santa Rosa County FL,Not sure,8,32,0.25
FL,all-surveys,"Sarasota County, FL",Not sure,8,33,0.24242424242424243
FL,all-surveys,"St. Lucie County Jail, FL",Yes,8,27,0.2962962962962963
GA,all-surveys,"Bibb County Jail, GA",Yes,8,17,0.47058823529411764
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Not sure,8,54,0.14814814814814814
MA,all-surveys,"Essex County Middleton HOC, MA",No,8,23,0.34782608695652173
MA,all-surveys,"Plymouth County Correctional Facility, MA",Yes,8,14,0.5714285714285714
ME,all-surveys,"Cumberland County Jail, ME",Yes,8,12,0.6666666666666666
ME,all-surveys,"Two Bridges Regional, ME",No,8,14,0.5714285714285714
MI,all-surveys,"Muskegon County Jail, MI",Yes,8,15,0.5333333333333333
MI,all-surveys,"Washtenaw County Jail, MI",No,8,24,0.3333333333333333
MT,all-surveys,"Cascade County, MT",Yes,8,14,0.5714285714285714
NC,all-surveys,"Craven County Jail, NC",No,8,35,0.22857142857142856
NE,all-surveys,"Sarpy County Jail, NE",Yes,8,14,0.5714285714285714
NJ,all-surveys,"Bergen County, NJ",Not sure,8,29,0.27586206896551724
NJ,all-surveys,"Camden County Department of Corrections, NJ",Yes,8,11,0.7272727272727273
NM,all-surveys,"Eddy County Detention Center, NM",Yes,8,21,0.38095238095238093
NM,all-surveys,"Lea County Sheriff's Office, NM",No,8,26,0.3076923076923077
NM,all-surveys,"Luna County Detention Center, NM",Yes,8,20,0.4
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",No,8,37,0.21621621621621623
NY,all-surveys,"Cayuga County, NY",Yes,8,12,0.6666666666666666
NY,all-surveys,"Oneida County Correctional Facility, NY",No,8,21,0.38095238095238093
OH,all-surveys,"Lorain County, OH ",No,8,23,0.34782608695652173
PA,all-surveys,"Allegheny County Jail, PA",Not sure,8,40,0.2
PA,all-surveys,"Cumberland County Prison, PA",Yes,8,14,0.5714285714285714
PA,all-surveys,"Washington County, PA ",Not sure,8,37,0.21621621621621623
SC,all-surveys,"Clarendon County, SC",No,8,14,0.5714285714285714
TN,all-surveys,"Hamilton County, TN",Not sure,8,46,0.17391304347826086
TN,all-surveys,"Rhea County Jail, TN",Yes,8,13,0.6153846153846154
TX,all-surveys,"GEO Group-Kinney County, TX",No,8,18,0.4444444444444444
TX,all-surveys,"Guadalupe County, TX",Not sure,8,42,0.19047619047619047
UT,all-surveys,"Weber County Correctional Facility, UT",Yes,8,20,0.4
VA,all-surveys,"Chesapeake Correctional Center, VA",No,8,32,0.25
WA,all-surveys,"Yakima County, WA",Not sure,8,43,0.18604651162790697
WI,all-surveys,"Dodge County, WI",Yes,8,18,0.4444444444444444
WI,all-surveys,"Sheboygan County Jail, WI",No,8,30,0.26666666666666666
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Not sure,8,35,0.22857142857142856
AL,all-surveys,"Montgomery County, AL",No,7,20,0.35
AL,all-surveys,"Riverside Regional, VA",No,7,18,0.3888888888888889
AL,all-surveys,"Tuscaloosa County Jail, AL",Not sure,7,32,0.21875
