state,answer_set,facility_name,who_vote_for_supplement,count,n_respondents,pct_of_respondents
MO,all-surveys,"Cape Girardeau County Jail, MO",Kamala Harris,10,42,0.23809523809523808
NC,all-surveys,"New Hanover County Detention Center, NC",Kamala Harris,10,24,0.4166666666666667
NC,all-surveys,"Onslow County Jail, NC",Kamala Harris,10,35,0.2857142857142857
NC,all-surveys,"Stanly County Jail, NC",Donald J. Trump,10,15,0.6666666666666666
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Donald J. Trump,10,22,0.45454545454545453
OH,all-surveys,"Lorain County, OH ",Kamala Harris,10,23,0.43478260869565216
PA,all-surveys,"Bucks County Correctional Facility, PA",Donald J. Trump,10,18,0.5555555555555556
PA,all-surveys,"Fayette County, PA",Donald J. Trump,10,16,0.625
PA,all-surveys,"Franklin County, PA",Donald J. Trump,10,16,0.625
PA,all-surveys,"Lebanon County, PA",Kamala Harris,10,34,0.29411764705882354
PA,all-surveys,"Lycoming County, PA",Donald J. Trump,10,13,0.7692307692307693
SC,all-surveys,"Clarendon County, SC",Donald J. Trump,10,14,0.7142857142857143
SC,all-surveys,"Richland County Glenn Detention Center, SC",Kamala Harris,10,46,0.21739130434782608
TN,all-surveys,"Davidson County Detention Center, TN",Don't know,10,120,0.08333333333333333
TN,all-surveys,"McMinn County Justice Center, TN",Donald J. Trump,10,23,0.43478260869565216
TN,all-surveys,"McMinn County Justice Center, TN",Kamala Harris,10,23,0.43478260869565216
UT,all-surveys,"Beaver County, UT",Kamala Harris,10,31,0.3225806451612903
VA,all-surveys,"Meherrin River Alberta, VA",Kamala Harris,10,20,0.5
VA,all-surveys,"Rappahannock Regional Jail, VA",Don't know,10,76,0.13157894736842105
WA,all-surveys,"King County Adult Detention, WA",Don't know,10,57,0.17543859649122806
WI,all-surveys,"Brown County Jail, WI",Don't know,10,73,0.136986301369863
WV,all-surveys,WV DCR North Central Regional Jail,Kamala Harris,10,66,0.15151515151515152
AZ,all-surveys,"Pima County Jail, AZ",Don't know,9,111,0.08108108108108109
AZ,all-surveys,"Pinal County Jail, AZ",Donald J. Trump,9,22,0.4090909090909091
AZ,all-surveys,"Pinal County Jail, AZ",Kamala Harris,9,22,0.4090909090909091
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Wouldn't vote,9,114,0.07894736842105263
CA,all-surveys,"Tehama County, CA",Donald J. Trump,9,13,0.6923076923076923
CO,all-surveys,"Weld County, CO",Don't know,9,83,0.10843373493975904
DC,all-surveys,DC DOC: Central Detention Facility,Wouldn't vote,9,74,0.12162162162162163
FL,all-surveys,"Leon County Jail, FL",Don't know,9,96,0.09375
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Kamala Harris,9,60,0.15
IL,all-surveys,"Vermilion County Jail, IL",Kamala Harris,9,19,0.47368421052631576
IN,all-surveys,"Boone County, IN",Donald J. Trump,9,14,0.6428571428571429
IN,all-surveys,"Floyd County Jail, IN",Kamala Harris,9,24,0.375
MA,all-surveys,"Hampshire County, MA",Donald J. Trump,9,20,0.45
MA,all-surveys,"Suffolk County Jail, MA",Donald J. Trump,9,23,0.391304347826087
MD,all-surveys,"Washington County Detention Center, MD",Kamala Harris,9,30,0.3
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Kamala Harris,9,22,0.4090909090909091
NY,all-surveys,"Broome County Public Safety Facility, NY",Donald J. Trump,9,20,0.45
NY,all-surveys,"Erie County, NY",Donald J. Trump,9,24,0.375
OH,all-surveys,"Cuyahoga County Justice Center, OH",Wouldn't vote,9,125,0.072
OH,all-surveys,"Portage County, OH",Donald J. Trump,9,19,0.47368421052631576
PA,all-surveys,"Cambria County Prison, PA",Kamala Harris,9,34,0.2647058823529412
PA,all-surveys,"Washington County, PA ",Kamala Harris,9,38,0.23684210526315788
TN,all-surveys,"Davidson County Detention Center, TN",Wouldn't vote,9,120,0.075
TN,all-surveys,"Rhea County Jail, TN",Donald J. Trump,9,13,0.6923076923076923
TX,all-surveys,"Fannin County Jail, TX",Donald J. Trump,9,13,0.6923076923076923
TX,all-surveys,Hay's County Law Enforcement Center,Donald J. Trump,9,12,0.75
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Kamala Harris,9,22,0.4090909090909091
VA,all-surveys,"Chesapeake Correctional Center, VA",Donald J. Trump,9,32,0.28125
