state,answer_set,facility_name,who_vote_for,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Apache County Jail, AZ",Donald J. Trump,9,21,0.42857142857142855
CA,all-surveys,"Butte County, CA",Wouldn't vote,9,46,0.1956521739130435
CA,all-surveys,"Tehama County, CA",Donald J. Trump,9,13,0.6923076923076923
CA,all-surveys,"Ventura County Sheriff's Office, CA",Don't know,9,72,0.125
CO,all-surveys,"Mesa County, CO",Wouldn't vote,9,61,0.14754098360655737
CO,all-surveys,"Pueblo County, CO",Joe Biden,9,64,0.140625
GA,all-surveys,"Catoosa County Jail, GA",Donald J. Trump,9,15,0.6
IN,all-surveys,"Hamilton County Main Jail, IN",Wouldn't vote,9,64,0.140625
MI,all-surveys,"Kent County, MI ",Don't know,9,71,0.1267605633802817
MI,all-surveys,"Macomb County, MI",Third-Party Candidate,9,53,0.16981132075471697
MO,all-surveys,"St. Louis County Jail, MO",Wouldn't vote,9,74,0.12162162162162163
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Don't know,9,65,0.13846153846153847
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Wouldn't vote,9,65,0.13846153846153847
NM,all-surveys,"Eddy County Detention Center, NM",Donald J. Trump,9,18,0.5
OH,all-surveys,"Mahoning County Justice Center, OH",Joe Biden,9,78,0.11538461538461539
PA,all-surveys,"Allegheny County Jail, PA",Donald J. Trump,9,16,0.5625
PA,all-surveys,"Berks County Jail, PA",Wouldn't vote,9,49,0.1836734693877551
PA,all-surveys,"Lackawana County, PA",Third-Party Candidate,9,86,0.10465116279069768
PA,all-surveys,"Lebanon County, PA",Wouldn't vote,9,46,0.1956521739130435
PA,all-surveys,"Lehigh County, PA",Wouldn't vote,9,59,0.15254237288135594
PA,all-surveys,"Montgomery County Correctional Facility, PA",Joe Biden,9,55,0.16363636363636364
PA,all-surveys,"Washington County, PA ",Wouldn't vote,9,45,0.2
TX,all-surveys,"MTC: Giles Dalby, TX",Joe Biden,9,89,0.10112359550561797
TX,all-surveys,"McLennan County, TX",Wouldn't vote,9,57,0.15789473684210525
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Donald J. Trump,9,16,0.5625
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Donald J. Trump,9,13,0.6923076923076923
WV,all-surveys,WV DCR North Central Regional Jail,Third-Party Candidate,9,75,0.12
CA,all-surveys,"Alameda County-Santa Rita, CA",Donald J. Trump,8,34,0.23529411764705882
CA,all-surveys,"Madera County, CA",Wouldn't vote,8,44,0.18181818181818182
CA,all-surveys,"Orange County, CA - Central Jail Complex",Joe Biden,8,69,0.11594202898550725
CA,all-surveys,"Orange County, CA - Theo Lacy",Third-Party Candidate,8,92,0.08695652173913043
CA,all-surveys,"San Joaquin County Jail, CA",Third-Party Candidate,8,79,0.10126582278481013
CA,all-surveys,"Santa Barbara County, CA",Don't know,8,53,0.1509433962264151
CO,all-surveys,"Mesa County, CO",Joe Biden,8,61,0.13114754098360656
GA,all-surveys,"Dekalb County Jail, GA",Joe Biden,8,34,0.23529411764705882
IL,all-surveys,Edovo Go - General,Donald J. Trump,8,14,0.5714285714285714
IN,all-surveys,"Hamilton County Main Jail, IN",Joe Biden,8,64,0.125
MA,all-surveys,"Berkshire County House of Corrections, MA",Donald J. Trump,8,20,0.4
MA,all-surveys,"Essex County Middleton HOC, MA",Joe Biden,8,60,0.13333333333333333
MA,all-surveys,"Worcester County Jail, MA",Wouldn't vote,8,51,0.1568627450980392
MI,all-surveys,"Macomb County, MI",Wouldn't vote,8,53,0.1509433962264151
MO,all-surveys,"St. Louis County Jail, MO",Don't know,8,74,0.10810810810810811
NC,all-surveys,"Cumberland County, NC",Don't know,8,72,0.1111111111111111
NJ,all-surveys,"Hudson County Corrections Center, NJ",Donald J. Trump,8,17,0.47058823529411764
NY,all-surveys,"Erie County, NY",Joe Biden,8,45,0.17777777777777778
NY,all-surveys,"Onondaga County, NY",Donald J. Trump,8,15,0.5333333333333333
OH,all-surveys,"Columbiana County Jail, OH",Donald J. Trump,8,17,0.47058823529411764
OH,all-surveys,"Scioto County, OH ",Donald J. Trump,8,10,0.8
OR,all-surveys,"Lincoln County, OR",Joe Biden,8,35,0.22857142857142856
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Donald J. Trump,8,15,0.5333333333333333
PA,all-surveys,"Delaware County, PA",Joe Biden,8,25,0.32
PA,all-surveys,"Lackawana County, PA",Wouldn't vote,8,86,0.09302325581395349
SC,all-surveys,"Clarendon County, SC",Donald J. Trump,8,13,0.6153846153846154
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Donald J. Trump,8,11,0.7272727272727273
VA,all-surveys,"Chesapeake Correctional Center, VA",Don't know,8,64,0.125
VA,all-surveys,"Meherrin River Alberta, VA",Donald J. Trump,8,15,0.5333333333333333
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Wouldn't vote,8,42,0.19047619047619047
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Third-Party Candidate,8,82,0.0975609756097561
WA,all-surveys,"Spokane County Jail, WA",Third-Party Candidate,8,74,0.10810810810810811
WA,all-surveys,"Spokane County Jail, WA",Wouldn't vote,8,74,0.10810810810810811
WA,all-surveys,"Yakima County, WA",Third-Party Candidate,8,86,0.09302325581395349
CA,all-surveys,"Madera County, CA",Joe Biden,7,44,0.1590909090909091
CA,all-surveys,"San Joaquin County Jail, CA",Don't know,7,79,0.08860759493670886
CA,all-surveys,"Sonoma County, CA",Donald J. Trump,7,18,0.3888888888888889
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Donald J. Trump,7,12,0.5833333333333334
CO,all-surveys,"Denver County Jail, CO",Third-Party Candidate,7,104,0.0673076923076923
CO,all-surveys,"Pueblo County, CO",Don't know,7,64,0.109375
DC,all-surveys,DC DOC: Central Detention Facility,Donald J. Trump,7,13,0.5384615384615384
FL,all-surveys,"Sarasota County, FL",Third-Party Candidate,7,48,0.14583333333333334
GA,all-surveys,"Athens Clarke County Jail, GA",Joe Biden,7,52,0.1346153846153846
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Joe Biden,7,76,0.09210526315789473
IL,all-surveys,"Madison County, IL",Donald J. Trump,7,16,0.4375
MA,all-surveys,"Bristol County House of Correction, MA",Wouldn't vote,7,48,0.14583333333333334
MA,all-surveys,"Middlesex County House of Corrections, MA",Joe Biden,7,52,0.1346153846153846
MD,all-surveys,"Washington County Detention Center, MD",Donald J. Trump,7,14,0.5
MO,all-surveys,"Cape Girardeau County Jail, MO",Third-Party Candidate,7,49,0.14285714285714285
MO,all-surveys,"Cape Girardeau County Jail, MO",Wouldn't vote,7,49,0.14285714285714285
NC,all-surveys,"Cumberland County, NC",Wouldn't vote,7,72,0.09722222222222222
NE,all-surveys,"Lancaster County, NE",Third-Party Candidate,7,39,0.1794871794871795
NM,all-surveys,"Chaves County Adult Detention Center, NM",Don't know,7,28,0.25
NM,all-surveys,"Curry County Detention Center, NM",Donald J. Trump,7,13,0.5384615384615384
