state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
NY,all-surveys,"Suffolk County, NY ",Federal,11,47,0.23404255319148937
OR,all-surveys,"Lincoln County, OR",Federal,11,34,0.3235294117647059
TX,all-surveys,"Johnson County, TX",State,11,36,0.3055555555555556
TX,all-surveys,"McLennan County, TX",State,11,53,0.20754716981132076
TX,all-surveys,"Potter County Detention, TX",Federal,11,48,0.22916666666666666
VA,all-surveys,"Roanoke City Adult Detention Center, VA",State,11,39,0.28205128205128205
VA,all-surveys,"Western Regional, VA",Federal,11,34,0.3235294117647059
CA,all-surveys,"Alameda County-Santa Rita, CA",City / Town,10,33,0.30303030303030304
CA,all-surveys,"Alameda County-Santa Rita, CA",State,10,33,0.30303030303030304
CA,all-surveys,"Orange County, CA - Theo Lacy",Federal,10,83,0.12048192771084337
CA,all-surveys,"Ventura County Sheriff's Office, CA",County,10,69,0.14492753623188406
CO,all-surveys,"Douglas Detention Center, CO",Federal,10,29,0.3448275862068966
CO,all-surveys,"Larimer County, CO",City / Town,10,27,0.37037037037037035
FL,all-surveys,"Sarasota County, FL",City / Town,10,43,0.23255813953488372
GA,all-surveys,"Dekalb County Jail, GA",City / Town,10,33,0.30303030303030304
IA,all-surveys,"Polk County, IA ",State,10,27,0.37037037037037035
MA,all-surveys,"Berkshire County House of Corrections, MA",City / Town,10,19,0.5263157894736842
MA,all-surveys,"Norfolk County Jail, MA",City / Town,10,20,0.5
MA,all-surveys,"Suffolk County Jail, MA",Federal,10,61,0.16393442622950818
MI,all-surveys,"Kent County, MI ",County,10,70,0.14285714285714285
NE,all-surveys,"Lancaster County, NE",City / Town,10,39,0.2564102564102564
NY,all-surveys,"Albany County Correctional Facility, NY",State,10,67,0.14925373134328357
NY,all-surveys,"Monroe County Sheriff's Department, NY",Federal,10,60,0.16666666666666666
NY,all-surveys,"Niagara County Correctional Facility, NY",State,10,35,0.2857142857142857
OH,all-surveys,"Lorain County, OH ",City / Town,10,27,0.37037037037037035
PA,all-surveys,"Washington County, PA ",State,10,42,0.23809523809523808
UT,all-surveys,"Beaver County, UT",State,10,28,0.35714285714285715
VA,all-surveys,"Arlington County Detention Center, VA",City / Town,10,29,0.3448275862068966
VA,all-surveys,"Pamunkey Regional Jail, VA",Federal,10,35,0.2857142857142857
WI,all-surveys,"Dodge County, WI",Federal,10,23,0.43478260869565216
AL,all-surveys,"Etowah County Jail, AL",City / Town,9,30,0.3
AZ,all-surveys,"Apache County Jail, AZ",City / Town,9,21,0.42857142857142855
CA,all-surveys,"Madera County, CA",State,9,43,0.20930232558139536
CO,all-surveys,"Larimer County, CO",State,9,27,0.3333333333333333
FL,all-surveys,"Lee County, FL",State,9,35,0.2571428571428571
FL,all-surveys,Santa Rosa County FL,State,9,37,0.24324324324324326
IA,all-surveys,"Polk County, IA ",Federal,9,27,0.3333333333333333
IL,all-surveys,"Kane County, IL",City / Town,9,36,0.25
IL,all-surveys,"Madison County, IL",City / Town,9,16,0.5625
IL,all-surveys,"Winnebago County, IL",County,9,104,0.08653846153846154
IN,all-surveys,"Hamilton County Main Jail, IN",Federal,9,60,0.15
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Federal,9,25,0.36
MA,all-surveys,"Barnstable County Correctional Facility, MA",City / Town,9,23,0.391304347826087
MA,all-surveys,"Plymouth County Correctional Facility, MA",City / Town,9,32,0.28125
MO,all-surveys,"Cape Girardeau County Jail, MO",State,9,46,0.1956521739130435
MO,all-surveys,"St. Louis County Jail, MO",County,9,68,0.1323529411764706
MT,all-surveys,"Missoula County, MT",City / Town,9,20,0.45
NC,all-surveys,"Cumberland County, NC",County,9,70,0.12857142857142856
NE,all-surveys,"Scotts Bluff County Detention Center, NE",City / Town,9,25,0.36
NJ,all-surveys,"Cumberland County Jail, NJ",City / Town,9,14,0.6428571428571429
NY,all-surveys,"Chautauqua County, NY",City / Town,9,28,0.32142857142857145
NY,all-surveys,"Erie County, NY",Federal,9,41,0.21951219512195122
NY,all-surveys,"Niagara County Correctional Facility, NY",City / Town,9,35,0.2571428571428571
OR,all-surveys,"Lincoln County, OR",State,9,34,0.2647058823529412
PA,all-surveys,"Fayette County, PA",Federal,9,25,0.36
PA,all-surveys,"Montgomery County Correctional Facility, PA",Federal,9,51,0.17647058823529413
PA,all-surveys,"Westmoreland County, PA",County,9,57,0.15789473684210525
SC,all-surveys,"Richland County Glenn Detention Center, SC",State,9,23,0.391304347826087
TX,all-surveys,"McLennan County, TX",County,9,53,0.16981132075471697
UT,all-surveys,"Beaver County, UT",Federal,9,28,0.32142857142857145
AZ,all-surveys,"Pinal County Jail, AZ",State,8,32,0.25
CO,all-surveys,"Jefferson County Detention Facility, CO",City / Town,8,43,0.18604651162790697
CO,all-surveys,"La Plata County, CO ",City / Town,8,12,0.6666666666666666
FL,all-surveys,"Escambia County Jail, FL",State,8,33,0.24242424242424243
GA,all-surveys,"Bibb County Jail, GA",City / Town,8,42,0.19047619047619047
GA,all-surveys,"Cobb County, GA",State,8,30,0.26666666666666666
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",County,8,73,0.1095890410958904
IL,all-surveys,"Kane County, IL",Federal,8,36,0.2222222222222222
IN,all-surveys,"Boone County, IN",State,8,21,0.38095238095238093
KS,all-surveys,"Douglas County, KS",Federal,8,20,0.4
MA,all-surveys,"Middlesex County House of Corrections, MA",County,8,51,0.1568627450980392
MA,all-surveys,"Worcester County Jail, MA",County,8,48,0.16666666666666666
MA,all-surveys,"Worcester County Jail, MA",Federal,8,48,0.16666666666666666
MI,all-surveys,"Kalamazoo County, MI",City / Town,8,20,0.4
MI,all-surveys,"Livingston County, MI",City / Town,8,24,0.3333333333333333
MO,all-surveys,"Cape Girardeau County Jail, MO",County,8,46,0.17391304347826086
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",County,8,65,0.12307692307692308
NE,all-surveys,"Lancaster County, NE",Federal,8,39,0.20512820512820512
NH,all-surveys,"Hillsborough County House of Corrections, NH",City / Town,8,16,0.5
NM,all-surveys,"Lea County Sheriff's Office, NM",Federal,8,18,0.4444444444444444
NY,all-surveys,"Monroe County Sheriff's Department, NY",County,8,60,0.13333333333333333
NY,all-surveys,"Onondaga County-Justice Center, NY",City / Town,8,23,0.34782608695652173
NY,all-surveys,"Onondaga County-Justice Center, NY",Federal,8,23,0.34782608695652173
OH,all-surveys,"Lorain County, OH ",State,8,27,0.2962962962962963
